key,en,ru,context,notes
ability.focus_burst.duration,Duration: {seconds}s,Длительность: {seconds}с,UpgradePanel ability duration row,{seconds} is integer seconds
ability.rally.duration,Duration: {seconds}s,Длительность: {seconds}с,UpgradePanel ability duration row,{seconds} is integer seconds
enemy.common.enemy_01.name,Enemy 1,Враг 1,EnemyPoolConfig global normal enemy 01,
enemy.common.enemy_02.name,Enemy 2,Враг 2,EnemyPoolConfig global normal enemy 02,
enemy.common.enemy_03.name,Enemy 3,Враг 3,EnemyPoolConfig global normal enemy 03,
enemy.common.enemy_04.name,Enemy 4,Враг 4,EnemyPoolConfig global normal enemy 04,
enemy.common.enemy_05.name,Enemy 5,Враг 5,EnemyPoolConfig global normal enemy 05,
enemy.common.enemy_06.name,Enemy 6,Враг 6,EnemyPoolConfig global normal enemy 06,
enemy.common.enemy_07.name,Enemy 7,Враг 7,EnemyPoolConfig global normal enemy 07,
enemy.common.enemy_08.name,Enemy 8,Враг 8,EnemyPoolConfig global normal enemy 08,
enemy.common.enemy_09.name,Enemy 9,Враг 9,EnemyPoolConfig global normal enemy 09,
enemy.common.enemy_10.name,Enemy 10,Враг 10,EnemyPoolConfig global normal enemy 10,
enemy.common.enemy_11.name,Enemy 11,Враг 11,EnemyPoolConfig global normal enemy 11,
enemy.common.enemy_12.name,Enemy 12,Враг 12,EnemyPoolConfig global normal enemy 12,
enemy.common.enemy_13.name,Enemy 13,Враг 13,EnemyPoolConfig global normal enemy 13,
enemy.common.enemy_14.name,Enemy 14,Враг 14,EnemyPoolConfig global normal enemy 14,
enemy.common.enemy_15.name,Enemy 15,Враг 15,EnemyPoolConfig global normal enemy 15,
ui.combat.gold_reward,+{amount} Gold,+{amount} Золота,Combat reward floating text,{amount} is compact formatted gold amount
rewarded_ad.banner.available,Watch Ad: Get Bonus,Смотреть рекламу: Получи бонус,RewardedAdBanner fallback label when no reward selected,
rewarded_ad.banner.all_damage,Watch Ad: x2 Damage,Реклама: x2 урон,RewardedAdBanner label for all_damage_x2 reward,
rewarded_ad.banner.gems,Watch Ad: +5 Gems,Реклама: +5 гемов,RewardedAdBanner label for gems_5 reward,
rewarded_ad.banner.gold,Watch Ad: x4 Gold,Реклама: x4 золото,RewardedAdBanner label for gold_x4 reward,
rewarded_ad.banner.loading,Loading Ad...,Загрузка рекламы...,RewardedAdBanner button loading state,
rewarded_ad.banner.cooldown,Bonus available soon,Бонус скоро будет доступен,RewardedAdBanner button cooldown state,
rewarded_ad.banner.error,Ad unavailable,Реклама недоступна,RewardedAdBanner button error state,
rewarded_ad.reward.all_damage,All damage x2 for 60 seconds!,Весь урон x2 на 60 секунд!,RewardedAdBanner reward notification,
rewarded_ad.reward.gems,+5 Gems!,+5 гемов!,RewardedAdBanner reward notification,
rewarded_ad.reward.gold,Gold x4 for 60 seconds!,Золото x4 на 60 секунд!,RewardedAdBanner reward notification,
rewarded_ad.status.not_available,Reward unavailable,Награда недоступна,RewardedAdBanner fallback error,
offline_reward.title,Welcome back!,С возвращением!,OfflineRewardDialog title,
offline_reward.time,Away time: {time},Вне игры: {time},OfflineRewardDialog time label,{time} formatted duration
offline_reward.reward,+ {gold} Gold,+ {gold} золота,OfflineRewardDialog reward label,{gold} formatted gold amount
offline_reward.claim,Claim,Получить,OfflineRewardDialog claim button,
offline_reward.claim_x3,Watch Ad x3,Реклама x3,OfflineRewardDialog claim x3 button,
offline_reward.loading_ad,Loading ad...,Загрузка рекламы...,OfflineRewardDialog loading state,
settings.sound,Sound,Звук,SettingsWindow sound row label,
settings.music,Music,Музыка,SettingsWindow music row label,
settings.save_now,Save,Сохранить,SettingsWindow save button,
settings.version,Version: {version},Версия: {version},SettingsWindow version label,{version} is the app version string
auto_transition.title,Auto-transition,Автопереход,AutoTransitionPopup title label,
ui.gameplay.new_zone,New Zone!,Новая Зона!,GameField defeat feedback when zone changes,
ui.gameplay.level_up,Level Up!,Новый Уровень!,GameField defeat feedback when level up,
common.duration.seconds,{seconds}s,{seconds}с,OfflineRewardDialog duration format,{seconds} is integer
common.duration.minutes,{minutes}m,{minutes}м,OfflineRewardDialog duration format,{minutes} is integer
common.duration.hours,{hours}h,{hours}ч,OfflineRewardDialog duration format,{hours} is integer
common.duration.hours_minutes,{hours}h {minutes}m,{hours}ч {minutes}м,OfflineRewardDialog duration format,{hours} and {minutes} are integers
